Overall Rank,Position Rank,Player,Team,Position,Age,Completions,Passing Attempts,Passing Yards,Passing TDs,Interceptions,Rush Attempts,Rushing Yards,Rushing Yards per Attempt,Rush TDs,Targets,Receptions,Receiving Yards,Receiving Yards per Reception,Points Per Reception,Receiving TDs,Fumbles,Fumbles Lost,Total TDs,Total Fantasy Points,VBD,Total Games Played
225,91,Nico Collins,HOU,WR,22,0,0,0,0,0,0,0,0.0,0,60,33,446,13.52,83.6,1,0,0,1,51.0,0.0,14
226,89,T.Y. Hilton,IND,WR,32,0,0,0,0,0,0,0,0.0,0,37,23,331,14.39,74.1,3,0,0,3,51.0,0.0,10
229,92,Devin Duvernay,BAL,WR,24,0,0,0,0,0,7,50,7.14,0,47,33,272,8.24,83.2,2,1,0,3,50.0,0.0,16
232,93,Julio Jones,TEN,WR,32,0,0,0,0,0,0,0,0.0,0,48,31,434,14.0,80.4,1,0,0,1,49.0,0.0,10
233,95,Allen Robinson,CHI,WR,28,0,0,0,0,0,0,0,0.0,0,66,38,410,10.79,87.0,1,0,0,1,49.0,0.0,12
234,94,Laquon Treadwell,JAX,WR,26,0,0,0,0,0,0,0,0.0,0,51,33,434,13.15,82.4,1,0,0,1,49.0,0.0,12
236,96,Jerry Jeudy,DEN,WR,22,0,0,0,0,0,2,3,1.5,0,56,38,467,12.29,85.0,0,1,0,0,47.0,0.0,10
237,97,Mack Hollins,MIA,WR,28,0,0,0,0,0,0,0,0.0,0,28,14,223,15.93,60.3,4,0,0,4,46.0,0.0,17
244,98,Jalen Reagor,PHI,WR,22,0,0,0,0,0,10,32,3.2,0,57,33,299,9.06,78.1,2,2,0,2,45.0,0.0,17
248,100,Demarcus Robinson,KAN,WR,27,0,0,0,0,0,0,0,0.0,0,41,25,264,10.56,69.4,3,0,0,3,44.0,0.0,17
250,103,Chris Conley,HOU,WR,29,0,0,0,0,0,1,3,3.0,0,37,22,323,14.68,64.6,2,1,1,2,43.0,0.0,16
252,104,Darius Slayton,NYG,WR,24,0,0,0,0,0,1,-13,-13.0,0,58,26,339,13.04,68.6,2,1,1,2,43.0,0.0,13
253,102,Kadarius Toney,NYG,WR,22,1,3,19,0,0,3,6,2.0,0,57,39,420,10.77,82.4,0,0,0,0,43.0,0.0,10
254,101,Sammy Watkins,BAL,WR,28,0,0,0,0,0,0,0,0.0,0,49,27,394,14.59,70.4,1,1,1,1,43.0,0.0,13
256,106,Sterling Shepard,NYG,WR,28,0,0,0,0,0,1,-9,-9.0,0,53,36,366,10.17,77.7,1,0,0,1,42.0,0.0,7
257,105,James Washington,PIT,WR,25,0,0,0,0,0,2,13,6.5,0,44,24,285,11.88,65.8,2,0,0,2,42.0,0.0,15
265,107,Calvin Ridley,ATL,WR,27,0,0,0,0,0,0,0,0.0,0,52,31,281,9.06,71.1,2,0,0,2,40.0,0.0,5
